id;user_id;name;type;brand;rating;notes;location;price;date_added;created_at;updated_at;image_url;is_favorite;is_wishlist
24ad2752-d470-4151-b4f2-09d7da58c106;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;Yamazaki 18 Year;whiskey;Yamazaki Distillery (Suntory);5;"This single malt Japanese whisky offers a rich and complex flavor profile with notes of dried fruit, dark chocolate, and a hint of smoke. It boasts a long, lingering finish with oak and spice undertones.

Yamazaki is Japan's oldest commercial whisky distillery, established in 1923 by Shinjiro Torii, the founder of Suntory. It is located near Kyoto, an area known for its soft water and diverse climate, which contributes to the whisky's unique character.

Best enjoyed neat or with a single drop of water to open up the aromas. It pairs well with rich desserts or dark chocolate.

I really loved it as an after dinner drink & with a few drops of water";The American Bar (Savoy) - London;$700-1500 per bottle;2025-12-27 17:01:38.771502+00;2025-12-27 17:01:38.771502+00;2025-12-30 00:35:50.183434+00;;true;false
16c58560-ec13-4bd6-9797-82ef9460b432;2295123d-fa10-48a2-a6eb-b5d67ccbe888;Sea Smoke Pinot Noir;wine;;4;;;;2025-12-25 17:17:59.880365+00;2025-12-25 17:17:59.880365+00;2025-12-25 17:17:59.880365+00;;false;false
9f073344-feca-4cdc-8c42-2a5cd2c4dc7a;2295123d-fa10-48a2-a6eb-b5d67ccbe888;Bodega Noemia;wine;;5;;Home;30;2025-12-27 03:09:42.067058+00;2025-12-27 03:09:42.067058+00;2025-12-27 03:09:42.067058+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/2295123d-fa10-48a2-a6eb-b5d67ccbe888/1766804965991.jpg;false;false
3ef6fb7f-14de-44fb-9f48-35f189d94b54;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;Château Margaux 2016;wine;Château Margaux;5;"This Grand Cru Classé (First Growth) Bordeaux is known for its exquisite balance, elegance, and complexity. Expect notes of blackcurrant, violet, cigar box, and graphite, with incredibly fine tannins and a long, perfumed finish. It's a wine that expresses both power and finesse.

Château Margaux is one of Bordeaux's five First Growths (Premier Grand Cru Classé) from the Margaux appellation. It has a rich history dating back centuries and is renowned for producing some of the world's most sought-after and age-worthy Cabernet Sauvignon-dominated wines.

This wine is best enjoyed after significant aging, typically 15-50+ years from the vintage. Decant for several hours before serving. Pair with classic fine dining cuisine like roasted lamb, prime rib, or truffle dishes. 

Also pairs well with Mushroom risotto.";Fortnum & Mason Wine Bar - London;$1000-2000+ per bottle (and increases with age);2025-12-27 15:55:08.526353+00;2025-12-27 15:55:08.526353+00;2025-12-27 15:55:08.526353+00;;false;false
d67eeef3-c4f4-4759-9188-2ef2dbf04cda;dd5124ab-2fbe-4eb2-aedb-60db6adfc469;Lambrusco;wine;;4;Red sweet, bubbly;;;2025-12-28 22:09:53.610143+00;2025-12-28 22:09:53.610143+00;2025-12-28 22:09:53.610143+00;;false;false
79676147-5c25-45ab-8bfc-90583d1a7eb7;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;Chateau d'Yquem Sauternes 2016;wine;Chateau d'Yquem;5;"This Sauternes typically showcases a rich and complex profile with notes of apricot, honey, orange peel, and marmalade, often underpinned by hints of botrytis spice and a distinctive freshness. It's renowned for its balance of intense sweetness and vibrant acidity.

Château d'Yquem is a premier cru supérieur (superior first growth) wine from the Sauternes region in Bordeaux, France. It is widely regarded as one of the world's greatest sweet wines, with a history dating back to the 16th century. The estate is known for its meticulous selection and long aging potential.

Serve chilled, around 10-12°C (50-54°F). It pairs exquisitely with foie gras, blue cheeses, fruit tarts, or simply as a decadent accompaniment to a dessert course. For similar experiences, explore other high-quality Sauternes or Tokaji Aszú wines.

Pairs well with blue cheeses like Roquefort and Crème Brûlée.";Also Sohm Wine Bar NYC;$400-800 per bottle;2025-12-27 16:09:30.852843+00;2025-12-27 16:09:30.852843+00;2025-12-30 00:35:43.28778+00;;true;false
d4659660-350d-4a38-a9a3-943dc7865719;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;Bouza Albariño 2023;wine;Bouza Viñedos y Bodega;5;"Bouza Albariño typically offers vibrant aromas of white flowers, apricot, and citrus, with a characteristic saline minerality. On the palate, it's generally crisp and refreshing, showcasing notes of green apple, grapefruit, and a hint of stone fruit, often with a pleasing acidity and a long finish.

Bouza Viñedos y Bodega is a highly regarded winery from Uruguay, known for producing high-quality wines. They are particularly recognized for their Tannat and Albariño, demonstrating that Uruguay can craft exceptional expressions of these varietals.

Serve chilled as an aperitif, or pair with seafood such as grilled fish, oysters, or shrimp. It also goes well with light salads or goat cheese.";;$20-35 per bottle;2026-01-04 15:16:48.838595+00;2026-01-04 15:16:48.838595+00;2026-01-04 15:16:48.838595+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/f6fe9461-d81a-4a52-b194-3b7a30f6fa8c/1767539754434.jpg;false;false
48e6c981-91af-4c7f-bea6-215773dbaf00;b7d68135-b16f-4efd-89e9-dc9180061ef1;Bouza Albariño 2025;wine;Bouza Vinedos & Bodega;5;"Albariño wines are typically highly aromatic with notes of apricot, peach, and citrus, alongside floral undertones. They often possess a vibrant acidity and a saline minerality, leading to a crisp and refreshing finish.

Vinos Finos Bouza is a highly regarded winery from Uruguay, known for producing premium wines. It is considered a pioneer in viticulture in the region, focusing on quality and expressing the Uruguayan terroir.

This Albariño would be best served chilled. It pairs wonderfully with seafood, especially shellfish, fresh salads, and light appetizers.";;$20-40 per bottle;2026-01-04 22:21:49.939592+00;2026-01-04 22:21:49.939592+00;2026-01-04 22:21:49.939592+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565291552.jpg;false;false
a49df806-2385-4b77-9836-af2daf839cfe;b7d68135-b16f-4efd-89e9-dc9180061ef1;Bodega Oceánica José Ignacio Albariño 2024;wine;Bodega Oceánica;5;"Albariño wines are typically aromatic with notes of peach, apricot, and citrus, alongside a distinctive salinity or minerality. This wine likely offers a crisp acidity and a refreshing finish.

Bodega Oceánica José Ignacio is a winery located in Uruguay, known for its cool-climate wines. They focus on expressing the unique oceanic terroir of the José Ignacio region, which is influenced by the nearby Atlantic Ocean.

This Albariño would pair excellently with seafood, especially grilled fish, oysters, or ceviche. It also complements light salads and soft cheeses. Serve chilled.";;$20-35 per bottle;2026-01-04 22:22:38.307794+00;2026-01-04 22:22:38.307794+00;2026-01-04 22:22:38.307794+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565324131.jpg;false;false
6608a2f1-21f2-4551-b365-8e4ea5cff7a6;b7d68135-b16f-4efd-89e9-dc9180061ef1;José Ignacio Pinot Noir 2023;wine;Bodega Oceánica;3;"Pinot Noir typically offers notes of red berries like cherry and raspberry, often with earthy undertones and a subtle spice. Given it's a 2023 vintage, it would likely be fresh and fruit-forward.

Bodega Oceánica is a winery located in Uruguay, specifically in the Finca José Ignacio region. Uruguay is an emerging wine region, known for its maritime climate influenced by the Atlantic Ocean, which can impart distinct characteristics to their wines.

This Pinot Noir would be excellent served slightly chilled. It pairs well with roasted chicken, salmon, mushroom dishes, or soft cheeses like brie.";;$20-40 per bottle;2026-01-04 22:23:21.535851+00;2026-01-04 22:23:21.535851+00;2026-01-04 22:23:21.535851+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565372343.jpg;false;false
5642ed02-4028-4c42-be8c-eaa0d8713dc0;b7d68135-b16f-4efd-89e9-dc9180061ef1;Campfire;whiskey;High West;5;"High West Campfire is known for its distinctive smoky character, balanced with notes of vanilla, caramel, and a hint of rye spice. It has a complex finish that evokes the aroma of a smoldering campfire.

High West Distillery is a craft distillery located in Park City, Utah. They are renowned for their innovative blends of whiskeys, often sourcing spirits from other distilleries and meticulously blending them to create unique profiles.

Best enjoyed neat or with a single large ice cube to appreciate its nuanced smokiness. It pairs well with hearty, savory dishes or dark chocolate for a rich dessert experience.";Copper & Oak;$70-90 per bottle;2026-01-16 00:22:19.957353+00;2026-01-16 00:22:19.957353+00;2026-01-16 00:22:19.957353+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1768522885637.jpg;false;false
5b20ae01-7905-4d46-b163-52c16be571a8;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;Sicilian Sour;cocktail;;4;Tart, good taste and has pistachio;Primo’s;19;2026-01-02 02:35:13.026573+00;2026-01-02 02:35:13.026573+00;2026-01-02 02:35:13.026573+00;;false;false
58efbad2-b424-43e6-b22a-88d1a1f4cbd3;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;Whiskey Sour;cocktail;;3;"A classic cocktail that balances the sweetness of whiskey with the tartness of lemon juice, often enhanced by a touch of sugar. It typically has a smooth yet zesty flavor profile.

The Whiskey Sour is a traditional mixed drink with historical roots dating back to the mid-19th century. Its exact origin is debated, but it's believed to have gained popularity among sailors to prevent scurvy and later in American bars.

Serve chilled, often garnished with an orange slice and a maraschino cherry. It pairs well with rich, savory dishes or can be enjoyed as a refreshing aperitif.";Primo’s;$19 per glass;2026-01-02 02:37:23.616203+00;2026-01-02 02:37:23.616203+00;2026-01-02 02:38:43.528118+00;;false;false
9c91e1cf-4f3c-4f9e-b289-1878ccf560b2;b7d68135-b16f-4efd-89e9-dc9180061ef1;Garzón Balasto 2020;wine;Bodega Garzón;5;"This Uruguayan red blend, featuring the distinctive 'balasto' soil, is known for its complexity, energy, and vibrancy. Expect dark fruit notes, mineral undertones, and a structured, elegant finish derived from a unique blend including Tannat.

Bodega Garzón is a renowned winery located in Uruguay, recognized for its commitment to sustainable winemaking and for producing high-quality wines that express the unique terroir of the region. The term 'balasto' refers to the stony, well-draining, and mineral-rich soil specific to their vineyards, which contributes significantly to the wine's character.

Serve at cellar temperature (around 60-65°F) in a large red wine glass. This wine pairs beautifully with grilled red meats, lamb, hearty stews, and aged cheeses. Decanting for an hour before serving would likely enhance its aromatic profile.";;$70-100 per bottle;2026-01-04 22:23:52.635657+00;2026-01-04 22:23:52.635657+00;2026-01-04 22:23:52.635657+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565411171.jpg;false;false
354c8933-6ab1-46c8-96ea-c36388506f70;b7d68135-b16f-4efd-89e9-dc9180061ef1;Kanosuke Single Malt Japanese Whisky;whiskey;Kanosuke Distillery;5;"Kanosuke Single Malt Japanese Whisky typically offers a complex profile with notes of dried fruits, vanilla, and a delicate smokiness, often complemented by hints of citrus and spice. The palate is usually smooth and well-balanced, leading to a long, clean finish.

Kanosuke Distillery, established in 2017, is part of the Komasa Jyozo company, which was founded in 1883 and is known for its shochu production. The distillery is named in honor of Kanosuke Komasa, who released Japan's first cask-aged shochu, ""Mellowed Kozuru,"" in 1957. It is located in Kagoshima, Japan.

This single malt is best enjoyed neat or with a drop of water to further open up its aromas. It pairs well with rich, savory dishes or dark chocolate. Consider exploring other Japanese whiskies for similar experiences.";;$100-250 per bottle;2026-01-04 22:24:34.792268+00;2026-01-04 22:24:34.792268+00;2026-01-04 22:24:34.792268+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565455304.jpg;false;false
465e7fea-3ed6-4ba8-8dc2-3517af84a901;b7d68135-b16f-4efd-89e9-dc9180061ef1;Glenmorangie A Tale of Spices;whiskey;Glenmorangie;3;"This limited edition Highland single malt Scotch whisky is crafted from a marriage of four cask types to create a mosaic of flavors. It offers a vibrant profile reminiscent of exotic spice markets, likely featuring complex notes of cinnamon, nutmeg, ginger, and perhaps some fruity or woody undertones.

Glenmorangie is a Highland single malt Scotch whisky distillery in Tain, Ross-shire, Scotland. Established in 1843, it is known for pioneering extra maturation and its tall stills, which contribute to a delicate and complex spirit. \""A Tale of Spices\"" is part of their experimental 'A Tale of...' series.

Enjoy neat or with a splash of water to unlock its full spectrum of aromas. This whisky would pair well with rich desserts or dark chocolate, or as a contemplative dram on its own.";;$90-130 per bottle;2026-01-04 22:25:05.548368+00;2026-01-04 22:25:05.548368+00;2026-01-04 22:25:05.548368+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565488876.jpg;false;false
f714ba3f-83e8-4bb6-9bde-3ecb5c8af073;b7d68135-b16f-4efd-89e9-dc9180061ef1;Patagonia Pale Ale;beer;;3;"This pale ale generally features a balanced profile with floral and citrus hop notes, often complemented by a subtle malt backbone. Expect a refreshing bitterness and a clean finish.

Patagonia, originally known for its outdoor apparel, has ventured into the beverage industry. This beer is often brewed in collaboration with established craft breweries, focusing on quality ingredients and sustainable practices.

Enjoy chilled in a pint glass. Pairs well with grilled foods, burgers, and spicy dishes. If you enjoy this, consider trying other American Pale Ales (APAs).";Buenos Aires;$10-15 per 6-pack;2026-01-05 01:00:56.158521+00;2026-01-05 01:00:56.158521+00;2026-01-05 01:00:56.158521+00;;false;false
99450ede-3fe1-4565-a433-963c991b3eff;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;Storm Cloud;cocktail;;5;"This drink appears to be a sour-style cocktail, characterized by a frothy top, likely from egg white or a vegan alternative, and garnished with what looks like dried spices or herbs. The body of the drink is a warm, amber hue, suggesting base spirits like whiskey, rum, or perhaps a darker gin, balanced with citrus and a sweetener.

Given its appearance, it would likely pair well with rich appetizers or desserts. For those who enjoy 'Storm Cloud' cocktails, which often feature smoky or herbal notes, exploring other cocktails with mezcal, peated whiskey, or botanical liqueurs could be enjoyable.";Antidote Brooklyn;$19;2026-01-11 17:30:43.01335+00;2026-01-11 17:30:43.01335+00;2026-01-11 17:30:43.01335+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/f6fe9461-d81a-4a52-b194-3b7a30f6fa8c/1768152518450.jpg;false;false
c8d0fb67-dede-4489-8078-b9fdeeb8ac99;b7d68135-b16f-4efd-89e9-dc9180061ef1;Fuji Japanese Whisky;whiskey;Kirin;4;"Typically, Fuji Japanese Whisky offers a smooth and balanced profile with notes of sweet fruits, grains, and some delicate woody or spicy undertones. Expect a clean finish characteristic of Japanese whiskies.

Fuji Japanese Whisky is produced by Kirin, a prominent Japanese beverage company. The distillery is located at the foot of Mount Fuji, utilizing the pure water from the region, which is often credited for the whisky's distinct character.

Enjoy neat, on the rocks, or in a classic highball to fully appreciate its delicate flavors. Pairs well with Japanese cuisine, especially lighter dishes, or as a contemplative digestif.";Copper & Oak;$50-80 per bottle;2026-01-15 23:43:03.549829+00;2026-01-15 23:43:03.549829+00;2026-01-15 23:43:03.549829+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1768520543738.jpg;false;false
a88e513b-1d7f-4f60-910e-c1728045e0b5;b7d68135-b16f-4efd-89e9-dc9180061ef1;Pelter Single Malt Whisky;whiskey;Pelter;5;"This is a 5-year-old single malt, non-chill filtered, suggesting a full-bodied and complex flavor profile. Given it is a single malt, expect notes of malt, possibly some fruit, spice, and oak from its aging.

Pelter is an Israeli winery and distillery, established in 2005 for wines and since 2013 for spirits. They are known for producing high-quality wines and were among the first to produce single malt whisky in Israel, with the 'Since 1920' possibly referring to a family heritage rather than the distillery's founding.

Enjoy neat or with a few drops of water to open up the flavors. It would pair well with dark chocolate or aged cheeses.";;$70-120 per bottle;2026-01-15 23:52:22.955962+00;2026-01-15 23:52:22.955962+00;2026-01-15 23:52:22.955962+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1768521102187.jpg;false;false
b247fbda-78be-4a30-9438-6f0f78f087bc;b7d68135-b16f-4efd-89e9-dc9180061ef1;Fuji Single Grain Japanese Whiskey;whiskey;Kirin (Fuji Gotemba Distillery);4;"This single grain Japanese whisky is often characterized by a smooth and delicate profile with notes of white fruits, cereal, and a touch of sweetness like honey or pear. It typically offers a clean finish.

Fuji Gotemba Distillery, owned by Kirin, is located at the foot of Mount Fuji in Japan. The distillery benefits from the region's pure water source and unique climate conditions, contributing to the distinct character of their whiskies. They are known for producing both malt and grain whiskies.

Enjoy neat or with a large ice cube to appreciate its delicate nuances. It can also be excellent in a Japanese Highball, mixed with high-quality sparkling water and a lemon twist.";Copper & Oak;$70-100 per bottle;2026-01-15 23:55:19.832317+00;2026-01-15 23:55:19.832317+00;2026-01-15 23:55:19.832317+00;https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1768521292998.jpg;false;false
